LOAIKHACHHANG,SODICHVU,SOLANBAOHONG,SOLANGOIKIEMBAOHONG,SOLANBAOHONGHAILONG,SOLANBAOHONGKHONGHAILONG,KHAOSATLAPMOI,KHAOSATLAPMOIHAILONG,KHAOSATLAPMOIKHONGHAILONG,SOLANCHAMSOC,SOLANTAMNGUNG,SOTHANGSUDUNGDICHVU,GIADICHVU,KHONGPHATSINHLUULUONG,HINHTHUCTHANHTOAN,DIEMTINNHIEM,LOAIDICHVU_Fiber,LOAIDICHVU_MyTV,THANHLY
0.0,0.01801801801801802,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0625,0.0,0.7142857142857142,0.0011398707600372695,0.0,0.0,0.6285714285714286,False,True,0
0.0,0.01801801801801802,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7142857142857142,0.0011398707600372695,0.09090909090909091,1.0,0.657142857142857,False,True,0
0.0,0.009009009009009009,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.125,0.0,0.7142857142857142,0.0011398707600372695,0.18181818181818182,0.0,0.5714285714285714,False,True,0
0.0,0.009009009009009009,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.125,0.0,0.5714285714285714,0.0011398707600372695,0.18181818181818182,1.0,0.657142857142857,False,True,0
0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.0011398707600372695,0.09090909090909091,0.0,0.5,False,True,0
0.0,0.009009009009009009,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.125,0.0,0.8571428571428571,0.0011398707600372695,0.0,1.0,0.657142857142857,False,True,0
0.0,0.01801801801801802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.7142857142857142,0.0011398707600372695,0.6363636363636364,0.0,0.657142857142857,False,True,0
0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.5714285714285714,0.0011398707600372695,0.0,0.0,0.657142857142857,False,True,0
0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,1.0,0.0011398707600372695,0.0,0.0,0.657142857142857,False,True,0
0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.7142857142857142,0.0011398707600372695,0.0,0.0,0.657142857142857,False,True,0
0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.0011398707600372695,0.0,0.0,0.657142857142857,False,True,0
0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.8571428571428571,0.0011398707600372695,0.0,0.0,0.657142857142857,False,True,0
